sym,date,post,res,home,pwin,derby,abn_ret
AJAX.AS,2021-08-22,2021-08-23,D,0,0.746,0,-0.00753
AJAX.AS,2021-08-29,2021-08-30,W,1,0.77,0,-0.00677
AJAX.AS,2021-09-11,2021-09-13,W,0,0.805,0,0.0068
AJAX.AS,2021-09-18,2021-09-20,W,1,0.846,0,-0.00497
AJAX.AS,2021-09-21,2021-09-22,W,0,0.823,0,0.00295
AJAX.AS,2021-09-25,2021-09-27,W,1,0.861,0,0.00394
AJAX.AS,2021-10-03,2021-10-04,L,1,0.82,0,-0.01487
AJAX.AS,2021-10-16,2021-10-18,W,0,0.753,0,-0.01238
AJAX.AS,2021-10-24,2021-10-25,W,1,0.669,0,0.00363
AJAX.AS,2021-10-30,2021-11-01,D,0,0.773,0,0.00695
AJAX.AS,2021-11-07,2021-11-08,D,1,0.886,0,0.00389
AJAX.AS,2021-11-21,2021-11-22,W,0,0.804,0,0.00782
AJAX.AS,2021-11-28,2021-11-29,W,0,0.804,0,-0.0105
AJAX.AS,2021-12-02,2021-12-03,W,1,0.877,0,0.00804
AJAX.AS,2021-12-12,2021-12-13,L,1,0.778,0,-0.00572
AJAX.AS,2021-12-19,2021-12-20,W,0,0.536,0,-0.03941
AJAX.AS,2021-12-22,2021-12-23,W,1,0.9,0,-0.00092
AJAX.AS,2022-01-16,2022-01-17,W,0,0.659,0,0.0006
AJAX.AS,2022-01-23,2022-01-24,W,0,0.49,0,-0.01036
AJAX.AS,2022-02-06,2022-02-07,W,1,0.876,0,-0.01484
AJAX.AS,2022-02-13,2022-02-14,W,1,0.84,0,0.00205
AJAX.AS,2022-02-19,2022-02-21,W,0,0.869,0,-0.00125
AJAX.AS,2022-02-27,2022-02-28,L,0,0.818,0,-0.01111
AJAX.AS,2022-03-06,2022-03-07,W,1,0.89,0,-0.01859
AJAX.AS,2022-03-11,2022-03-14,W,0,0.839,0,0.03399
AJAX.AS,2022-03-20,2022-03-21,W,1,0.669,0,6e-05
AJAX.AS,2022-04-02,2022-04-04,W,0,0.757,0,-0.00096
AJAX.AS,2022-04-09,2022-04-11,W,1,0.876,0,-0.01011
AJAX.AS,2022-04-23,2022-04-25,W,0,0.791,0,-0.01741
AJAX.AS,2022-04-30,2022-05-02,W,1,0.855,0,-0.00906
AJAX.AS,2022-05-08,2022-05-09,D,0,0.558,0,-0.00927
AJAX.AS,2022-05-11,2022-05-12,W,1,0.831,0,-0.01435
AJAX.AS,2022-05-15,2022-05-16,D,0,0.654,0,0.0084
AJAX.AS,2022-08-06,2022-08-08,W,0,0.783,0,-0.00428
AJAX.AS,2022-08-14,2022-08-15,W,1,0.816,0,0.00792
AJAX.AS,2022-08-21,2022-08-22,W,0,0.762,0,0.0422
AJAX.AS,2022-08-28,2022-08-29,W,0,0.676,0,-0.00927
AJAX.AS,2022-09-03,2022-09-05,W,1,0.871,0,-0.01374
AJAX.AS,2022-09-10,2022-09-12,W,1,0.803,0,0.0025
AJAX.AS,2022-09-18,2022-09-19,L,0,0.573,0,0.00025
AJAX.AS,2022-10-01,2022-10-03,D,1,0.876,0,-0.03378
AJAX.AS,2022-10-08,2022-10-10,W,0,0.808,0,-0.01963
AJAX.AS,2022-10-16,2022-10-17,W,1,0.895,0,0.0118
AJAX.AS,2022-10-22,2022-10-24,W,0,0.754,0,-0.01677
AJAX.AS,2022-11-06,2022-11-07,L,1,0.543,0,-0.00455
AJAX.AS,2022-11-09,2022-11-10,D,1,0.843,0,0.00141
AJAX.AS,2022-11-12,2022-11-14,D,0,0.728,0,-0.013
AJAX.AS,2023-01-08,2023-01-09,D,0,0.696,0,-0.01494
AJAX.AS,2023-01-14,2023-01-16,D,1,0.694,0,-0.01789
